input,answer
Treat a Fever,4
Take a Horse's Temperature,0
Act when You Have Fever,4
Tell if You Have a Fever,3
Take a Feeling Temperature,1
Get Rid of a Fever,3
Take a Temperature,1
Measure Temperature,1
React When You Have a Fever,3
Take Care of Your Eyes,4
Get Fish Smell off Your Hands,4
Get Rid of a Long‐Term Nose or Mouth Twitch,4
Hang a Spoon from Your Nose,0
Wiggle Your Nose,0
Wipe Your Nose on Your Hands,0
Blow Your Nose,2
Get Rid of Spectacle Marks on Your Nose,0
Take Care of Your Hands,0
Use PowerPoint as Image Editing Software,1
Edit Photos With GIMP,1
Edit a Photo Like a Pro,1
Edit Photos with Snapseed,1
Edit a Photo Fit for Print Using Photoshop,1
you edit your photos? | wikiHow Asks a Professional Photographer,1
Create Custom Gift Wrap Using Photo Editing Software,4
Choose Video Editing Software,4
Edit,2
Remove Acrylic Paint,4
Paint Acrylic on Canvas,2
Dispose of Acrylic Paint,4
Make Acrylic Paint,4
Clean an Acrylic Painting,4
Paint Acrylic Clouds,2
Paint With Acrylics,4
Clean Acrylic,4
Acrylic Paint,4
Thin Oil Paint,0
Oil Paint on Canvas,4
Match Paint Colors,4
Make Oil Paint,0
Make Paint Colors,4
Mix Gold Color,2
Oil Paint Faces,4
Oil Paint,4
Paint Gold,2
Apply Stick Foundation,1
Apply Cream Foundation,1
Apply Powder Foundation,1
Apply Even Foundation,1
Apply a Full Coverage Foundation,1
Apply Foundation and Powder,1
Apply Foundation Primer,1
Apply Mousse Foundation,1
Apply Foundation,1
Pin a Pattern,3
Thread a Needle,1
Sew a Knitting Needle Roll Up,3
Knit a Zig Zag Pattern,1
Make a Cross Stitch Pattern,3
Do a Zigzag Stitch by Hand,1
Knit a Zig Zag Blanket,3
Backstitch Curves in Cross Stitch,3
Zigzag Stitch,1
Express Hurt Feelings in Words,1
Validate Someone's Feelings,1
Express Your Feelings,1
Quarantine Yourself,4
Express Your Feelings in Writing,3
Express Sympathy,3
Express True Feelings when Shy,3
Help Your Toddler Express Their Feelings,0
Prove an Emotional Distress Claim,0
Drink Hot Water,4
Boil Drinking Water,4
Get Emergency Drinking Water from a Water Heater,3
Drink More Water Every Day,2
Get in the Habit of Drinking Water,2
Drink Lemon Water,3
Turn Salt Water Into Drinking Water,4
Make Your Dog Drink Water,0
Drink Enough Water,2
Serve on a Jury,0
Serve Tea,4
Serve Ice Cream,4
Serve God,0
Serve and Drink Sake,4
Do an Underhand Serve,0
Serve Cheese,3
Serve Appetizers,3
Serve Court Papers,0
Use a Needle Threader,1
Do Needlepoint,1
Needle Punch,3
Choose Sewing Thread,1
Thread a Sewing Machine,1
Needle Felt,3
Thread a Needle and Tie a Knot,1
Avoid Attention,0
Avoid Getting Discouraged,2
Avoid Distractions,2
Avoid Distractions While Driving,0
Avoid Getting Cracks in Your Voice When Singing,1
Avoid Distractions While Studying,0
Avoid Distractions Online,4
Learn to Sing Pop Without Getting a Teacher,3
Avoid Singing Through Your Nose,4
Gear Up for a Motorcycle Ride,0
Ride a Bicycle,0
Shift Gears on a Bike,3
Ride Your First Dirt Bike,2
Ride a Motorcycle,2
Shift Gears on a Motorcycle,1
Ride a Road Bike,3
Ride a Fixed Gear Bike,3
Adjust Bike Gears,3
Start a Motorcycle,1
Start,0
Make a Game Engine,0
Make a Steam Engine,0
"Start a Carbureted, Electric Start Outboard Motor",1
Start an Outboard Motor,1
Push Start a Motorcycle,1
Build a Motor,3
Rebuild an Engine,3
Write Introductions,1
Write an Introduction for a Persuasive Speech,3
Write Your Own Performance Review,3
Write an Introduction to a Book,4
Write,1
Write an Introduction Paragraph,1
Write a Portfolio Introduction,4
Write an Essay Introduction,1
Write a Research Introduction,4
Be Respected,4
Be Respectful of Your Parents,1
Bow Politely,1
Be Respectfully Righteous,1
Be Polite,1
Be Respectful,1
Be Respectful of Your Family,1
Respect Yourself,4
Show Respect,1
Make Your Office More Inclusive of LGBTQ People,4
Celebrate LGBT+ Pride Month,2
Accept Yourself as LGBT,1
Handle LGBT+ People,4
Find a Welcoming College if You Are LGBT,1
Accept an LGBTQ Person,1
Deal with Pushback to Coming Out As LGBT,1
Get Legal Help for LGBT People,3
Support the National LGBTQ Task Force,4
Learn Common Phrases in Irish,4
Learn the Irish Language,4
Resin Irish Dance Shoes,3
Have Correct Irish Dance Form,1
Become an Irish Dance Champion,1
Learn to Tap Dance,2
Dance an Irish Jig,1
Irish Dance,1
Teach Dance,2
