,1,2,3,4,5
Arts and Entertainment,0.3,0.325,0.11666666666666667,0.13333333333333333,0.125
Cars & Other Vehicles,0.1,0.13333333333333333,0.06666666666666667,0.3,0.4
Computers and Electronics,0.35555555555555557,0.1,0.1111111111111111,0.23333333333333334,0.2
Education and Communications,0.22666666666666666,0.14666666666666667,0.19333333333333333,0.22,0.21333333333333335
Family Life,0.16666666666666666,0.1,0.4,0.3,0.03333333333333333
Finance and Business,0.07272727272727272,0.20909090909090908,0.23636363636363636,0.34545454545454546,0.13636363636363635
Food and Entertaining,0.12222222222222222,0.17777777777777778,0.37777777777777777,0.15555555555555556,0.16666666666666666
Health,0.30952380952380953,0.11904761904761904,0.28095238095238095,0.18571428571428572,0.10476190476190476
Hobbies and Crafts,0.16666666666666666,0.08333333333333333,0.2,0.13333333333333333,0.4166666666666667
Holidays and Traditions,0.2,0.3333333333333333,0.13333333333333333,0.1,0.23333333333333334
Home and Garden,0.225,0.2625,0.2125,0.2125,0.0875
Personal Care and Style,0.35,0.175,0.1125,0.15,0.2125
Pets and Animals,0.13333333333333333,0.2,0.36666666666666664,0.13333333333333333,0.16666666666666666
Philosophy and Religion,0.35,0.3,0.175,0.1,0.075
Relationships,0.19,0.2,0.27,0.21,0.13
Sports and Fitness,0.26666666666666666,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.13333333333333333
Work World,0.3,0.0,0.0,0.4,0.3
Youth,0.27,0.21,0.2,0.18,0.14
