category,corresponding_goal,step,retrieved_goal,retrieved_goal_similarity,answer
Arts and Entertainment,Keep Your Voice Safe,Don't smoke.,Smoke Sausage,0.55681854,0
Arts and Entertainment,Keep Your Voice Safe,Don't smoke.,Quit Smoking,0.5586003,1
Arts and Entertainment,Keep Your Voice Safe,Don't smoke.,Smoke Meat,0.55908215,0
Arts and Entertainment,Keep Your Voice Safe,Don't smoke.,Drive Through Smoke,0.57703066,0
Arts and Entertainment,Keep Your Voice Safe,Don't smoke.,Cover up the Smell of Cigarette Smoke,0.57934356,4
Arts and Entertainment,Keep Your Voice Safe,Don't smoke.,Do Smoke Tricks,0.581612,0
Arts and Entertainment,Keep Your Voice Safe,Don't smoke.,Get Cigarette Smoke off Your Breath,0.5940812,4
Arts and Entertainment,Keep Your Voice Safe,Don't smoke.,Smoke and Not Smell,0.64211583,4
Arts and Entertainment,Keep Your Voice Safe,Don't smoke.,Smoke a Cigarette,0.66311145,0
Arts and Entertainment,Keep Your Voice Safe,Don't smoke.,Smoke,0.7991333,0
Arts and Entertainment,Build a Float,Find funding for the project.,Name a Project,0.4611423,2
Arts and Entertainment,Build a Float,Find funding for the project.,Produce a Project Scheme,0.46221823,2
Arts and Entertainment,Build a Float,Find funding for the project.,Apply for Legal Funding,0.46503950000000005,4
Arts and Entertainment,Build a Float,Find funding for the project.,Make a Project Plan,0.46639234,1
Arts and Entertainment,Build a Float,Find funding for the project.,Get Funding for a Startup Business,0.47072756,4
Arts and Entertainment,Build a Float,Find funding for the project.,Find Money,0.5014725,3
Arts and Entertainment,Build a Float,Find funding for the project.,Manage a Project,0.50486124,2
Arts and Entertainment,Build a Float,Find funding for the project.,Find a Topic for a School Project,0.5160398,2
Arts and Entertainment,Build a Float,Find funding for the project.,Do a Project,0.5565977,1
Arts and Entertainment,Build a Float,Find funding for the project.,Create a Project Financial Plan,0.5677868,2
Arts and Entertainment,Do Something when You're Bored,Learn something new.,Be More Open to Learning New Technology,0.4776758,1
Arts and Entertainment,Do Something when You're Bored,Learn something new.,Acquire New Skills,0.48247778,2
Arts and Entertainment,Do Something when You're Bored,Learn something new.,Start a New Life in a New School,0.50407314,2
Arts and Entertainment,Do Something when You're Bored,Learn something new.,Teach Yourself a New Language,0.5695266999999999,4
Arts and Entertainment,Do Something when You're Bored,Learn something new.,Learn,0.5987676,3
Arts and Entertainment,Do Something when You're Bored,Learn something new.,Learn a New Language Fast,0.6125982,3
Arts and Entertainment,Do Something when You're Bored,Learn something new.,Try Something New,0.6170268,2
Arts and Entertainment,Do Something when You're Bored,Learn something new.,Do Something New,0.6998849,2
Arts and Entertainment,Do Something when You're Bored,Learn something new.,Learn Something New Every Day,0.7430705,2
Arts and Entertainment,Do Something when You're Bored,Learn something new.,Learn New Things,0.80616593,4
Arts and Entertainment,Harmonize,Learn your part perfectly to avoid getting distracted by other singers.,Avoid Attention,0.44901642,0
Arts and Entertainment,Harmonize,Learn your part perfectly to avoid getting distracted by other singers.,Learn to Sing Pop Without Getting a Teacher,0.44903076,1
